id,name,title,sourceUrl,date,sensorGeneration,compatibleCameras,parseStatus,settingCount,filmSimulation,dynamicRange,grainEffect,colorChromeEffect,colorChromeFxBlue,whiteBalance,highlight,shadow,color,sharpness,highIsoNr,clarity,iso,exposureCompensation
pro-negative-160c,PRO Negative 160C,PRO Negative 160C - PRO Negative 160C - Fujifilm X100VI Film Simulation Recipe,https://fujixweekly.com/2024/03/27/pro-negative-160c-fujifilm-x100vi-film-simulation-recipe/,"March 27, 2024",X-Trans V,X100VI,ok,14,Reala Ace,DR200,"Weak, Small",Strong,Off,"Auto, +1 Red & -2 Blue",-1,-1,+4,-1,-4,-2,"Auto, up to ISO 6400",0 to +2/3 (typically)
easy-reala-ace,Easy Reala Ace,Easy Reala Ace - Easy Reala Ace - Fujifilm X100VI (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/06/20/easy-reala-ace-fujifilm-x100vi-x-trans-v-film-simulation-recipe/,"June 20, 2024",X-Trans V,X100VI,ok,14,Reala Ace,DR400,"Weak, Small",Strong,Weak,"Auto, 0 Red & 0 Blue",-1,0,0,0,-4,0,"Auto, up to ISO 6400",+1/3 to +1 (typically)
fujifilm-negative,Fujifilm Negative,Fujifilm Negative - Fujifilm Negative - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/10/31/fujifilm-negative-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"October 31, 2024",X-Trans V,X-T5,ok,14,Reala Ace,DR400,"Weak, Small",Strong,Off,"5000K, 0 Red & -2 Blue",-1,-0.5,+2,-1,-4,-2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
fujicolor-film,Fujicolor Film,Fujicolor Film - Fujicolor Film - Fujifilm X100VI (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/09/18/fujicolor-film-fujifilm-x100vi-x-trans-v-film-simulation-recipe/,"September 18, 2024",X-Trans V,X100VI,ok,14,Reala Ace,DR400,"Strong, Small",Weak,Weak,"5500K, -1 Red & -1 Blue",-1,-0.5,-2,-1,-4,-2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
fujicolor-100-industrial,Fujicolor 100 Industrial,Fujicolor 100 Industrial - Fujicolor 100 Industrial - Fujifilm X100VI (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/04/05/fujicolor-100-industrial-fujifilm-x100vi-x-trans-v-film-simulation-recipe/,"April 5, 2024",X-Trans V,X100VI,ok,14,Reala Ace,DR400,"Weak, Small",Weak,Off,"3100K, +8 Red & -8 Blue",+0.5,+1.5,-1,-1,-4,-2,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
kodak-gold-max-400-expired,Kodak Gold Max 400 Expired,Kodak Gold Max 400 Expired - Kodak Gold Max 400 Expired - Fujifilm X-Trans V Film Simulation Recipe,https://fujixweekly.com/2024/12/31/kodak-gold-max-400-expired-fujifilm-x-trans-v-film-simulation-recipe/,"December 31, 2024",X-Trans V,"X-T5, X-S20, X100VI, GFX100S II",ok,14,Reala Ace,DR400,"Strong, Large",Strong,Strong,"6700K, +1 Red & +4 Blue",-1.5,+1.5,-2,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to +1 1/3 (typically)
pushed-analog,Pushed Analog,Pushed Analog - Pushed Analog - Fujifilm X-T50 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/08/29/pushed-analog-fujifilm-x-t50-x-trans-v-film-simulation-recipe/,"August 29, 2024",X-Trans V,"X-T5, X-T50",ok,14,Reala Ace,DR200,"Strong, Small",Strong,Strong,"Fluorescent 1, -3 Red & -2 Blue",+1.5,+2,+4,-1,-4,-3,"Auto, up to ISO 6400",+1/3 to +2/3 (typically)
nostalgia-negative-my-first-fujifilm-x-t5-x-trans-v-film-simulation-recipe,Nostalgia Negative - My First Fujifilm X-T5 (X-Trans V) Film Simulation Recipe!!,Nostalgia Negative - My First Fujifilm X-T5 (X-Trans V) Film Simulation Recipe!! - Nostalgia Negative - My First Fujifilm X-T5 (X-Trans V) Film Simulation Recipe!!,https://fujixweekly.com/2022/11/22/nostalgia-negative-my-first-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"November 22, 2022",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Strong, Small",Strong,Weak,"Daylight, +3 Red & -3 Blue",-1,+1,+4,-1,-4,-3,"Auto, up to ISO 6400",0 to +2/3 (typically)
timeless-negative,Timeless Negative,Timeless Negative - Timeless Negative - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/11/30/timeless-negative-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"November 30, 2022",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Weak, Small",Strong,Off,"Auto, +2 Red & -3 Blue",+2,-2,-3,0,-4,-2,"Auto, up to ISO 6400",-2/3 to +1/3 (typically)
thommy-s-ektachrome,Thommy's Ektachrome,Thommy's Ektachrome - Thommy's Ektachrome - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/03/24/thommys-ektachrome-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"March 24, 2023",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR100,"Weak, Small",Weak,Off,"5000K, -1 Red & +3 Blue",+1.5,+1.5,+1,-1,-4,-2,"Auto, up to ISO 6400",+0 to +1/3 (typically)
